Nation Name,flag,Themes,Hatchy Culture,Description,Political Conflict,Conflict leading to Corruption,story
,,"pretext:
- there are philosophically united groups that are being torn with nationalism, and a group is started uniting those under a common objective as the empire

- there is general divide and conquer strategy happening with the empire, people are being driven to desperation or opportunism and start to make compromises with a hidden enemy tricking them with support

- the empire needs to get greater control to completely inact their will

- in most cases, the local people are the last defence because of tradition and custom which might be different to each but plays a role in the harmony",,,"- something should be happening in each location that is pulling people away from these traditions, towards division, allowing cracks for the empire to expand secretly through its controlled opposition of democracy

- they are breaking united groups and placing in people as puppets that are badly affected by their roles, as a kind of cursed outcome, in essence that they sold their souls and will have a regrettable outcome

- the order slowly expands to control the major areas in the world, find enough of the ancient shards that they are able to shift the resonance enough to break the seal, 

- the chaos god then takes over with pure unrivalled aggression to push rapidly to corruption, acheiving the initial goal of full resonance shift enough that the abyssals can enter the realm",,
,,,,,,,
eastern,,,,,,,
Arcadia,FALSE,secular political,exploitative,A wealthy coastal nation known for its strong navy and mercantile trade.,The ruling aristocracy is fiercely opposed by a populist movement seeking to expand voting rights and democratize the government.,"In a desperate bid to maintain their grip on power, the ruling aristocracy enlists the help of a powerful necromancer who unleashes the Corruption on their enemies, causing widespread devastation and creating an army of undead to bolster their forces.",
Somola,FALSE,,cooperative,"a small farming kingdom, once arid, turned into an oasis with the help of the hatchies and now the foodbowl of the region","with added value comes added conflict, the other kingdoms are fighting to take the land for their advantage, shifting delegates vote to absorb them to the larger kingdom","farms are starting to be attacked by what was otherwise peaceful hatchies, delegates corrupting hatchies to attack and have the populous farmers want to leave or allow the kingdoms protection",
Kingdom of Azura,FALSE,"- multicultural
- ","domineering
condescending
exploitative",a democratic nation that seeks to promote freedom and democracy throughout the world,"The Dominion of Arcadia is a highly advanced society, where technology and magic are used in harmony to improve people's lives. However, a powerful corporation has gained too much control over the government, and are using their resources to conduct dangerous experiments in genetics, robotics and advanced weapons","The corporation's use of the corruption has resulted in the creation of chimera and an army of corrupted cyborgs, which they plan to use to take over the Dominion. As the citizens realize the extent of the corporation's power, they must decide whether to take action or risk becoming enslaved by the corruption",fascist style country where corporations control priorities and ethics is put aside as technology superiority is highly valued
midworld,,,,,,,
Ixor City of Chants,FALSE,america,"mixed peoples, 
exploitative",The Kingdom of Azura is a powerful and prosperous nation that seeks to maintain its dominance over other nations,"To maintain its power and control over other nations, controller of the trade routes, owners of the colloseum and hosts of events","political tension puts them in the middle while they try to play others against eachother and maintain their power without causing issues, internal rifts caused by desire to take sides by ruling class","multicultural centre inspired by osmanli and asian silk road trade routes, medieval istanbul style city surrounded by tribes and smaller colonies/kingdoms"
,,,,,,,
western plainlands,,,,,,,
